reason	subject	predicate	object
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b12	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b2	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
object_bnode	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#ResearchAssistant>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:n9101eb81d8ac4180a6764f4807965847b4
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b6	<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Person>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b3	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b17	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#takesCourse>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b4	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#worksFor>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b8	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#headOf>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b1	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Restriction>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b15	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b5	<http://www.w3.org/2002/07/owl#onProperty>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#teachingAssistantOf>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b16	<http://www.w3.org/2002/07/owl#someValuesFrom>	<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#GraduateCourse>
subject_bnode	_:n9101eb81d8ac4180a6764f4807965847b7	<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
